minecraft:item_frame,_model__mc_block_item_frame
minecraft:black_candle,_model__mc_block_candle
minecraft:black_candle_cake,_mc_block_wool_black
minecraft:black_carpet,_model__mc_block_wool_carpet_black
minecraft:concrete:8,_mc_block_concrete_black
minecraft:concrete_powder:15,_mc_block_concrete_powder_black
minecraft:black_glazed_terracotta,_mc_block_glazed_terracotta
minecraft:black_shulker_box,_mc_block_shulker_box_black
minecraft:black_stained_glass,_mc_block_stained_glass_black
minecraft:black_stained_glass_pane,_mc_block_stained_glass_black
minecraft:black_terracotta,_mc_block_terracotta_black
minecraft:black_wall_banner,_model__mc_block_banner_hanging_black
minecraft:black_wool,_mc_block_wool_black
minecraft:blackstone,_mc_block_blackstone
minecraft:blackstone_slab,_mc_block_blackstone
minecraft:blackstone_stairs,_mc_block_blackstone
minecraft:blackstone_wall,_mc_block_blackstone
minecraft:blast_furnace,_mc_block_blast_furnace_front_on
minecraft:blue_banner,_model__mc_block_banner_blue
minecraft:blue_bed,_model__mc_block_bed_blue
minecraft:blue_candle,_model__mc_block_candle
minecraft:blue_candle_cake,_mc_block_wool_blue
minecraft:blue_carpet,_model__mc_block_wool_carpet_blue
minecraft:blue_concrete,_mc_block_concrete_blue
minecraft:blue_concrete_powder,_mc_block_concrete_powder_blue
minecraft:blue_glazed_terracotta,_mc_block_glazed_terracotta_blue
minecraft:blue_ice,_mc_block_blue_ice
minecraft:blue_orchid,_model__mc_block_blue_orchid
minecraft:blue_shulker_box,stone
minecraft:blue_stained_glass,_mc_block_stained_glass_blue
minecraft:blue_stained_glass_pane,_mc_block_stained_glass_blue
minecraft:blue_terracotta,_mc_block_terracotta_blue
minecraft:blue_wall_banner,_model__mc_block_banner_hanging_blue
minecraft:blue_wool,_mc_block_wool_blue
minecraft:bone_block,_mc_block_bone_block_side
minecraft:bookshelf,_mc_block_bookshelf
minecraft:brain_coral,_mc_block_brain_coral_block
minecraft:brain_coral_block,_mc_block_brain_coral_block
minecraft:brain_coral_fan,_mc_block_brain_coral_block
minecraft:brain_coral_wall_fan,_mc_block_brain_coral_block
minecraft:brewing_stand,_model__mc_block_brewing_stand
minecraft:brick_slab,_mc_block_brick
minecraft:brick_stairs,_mc_block_brick
minecraft:brick_wall,_mc_block_brick
minecraft:bricks,_mc_block_brick
minecraft:brown_banner,_model__mc_block_banner_brown
minecraft:brown_bed,_model__mc_block_bed_brown
minecraft:brown_candle,_model__mc_block_candle
minecraft:brown_candle_cake,_mc_block_wool_brown
minecraft:brown_carpet,_model__mc_block_wool_carpet_brown
minecraft:brown_concrete,_mc_block_concrete_brown
minecraft:brown_concrete_powder,_mc_block_concrete_powder_brown
minecraft:brown_glazed_terracotta,_mc_block_glazed_terracotta_brown
minecraft:brown_mushroom,_model__mc_block_brown_mushroom
minecraft:brown_mushroom_block,_mc_block_brown_mushroom
minecraft:brown_shulker_box,stone
minecraft:brown_stained_glass,stone
minecraft:brown_stained_glass_pane,stone
minecraft:stained_hardenedclay:12,_mc_block_terracotta_brown
minecraft:brown_wall_banner,_model__mc_block_banner_hanging_brown
minecraft:brown_wool,_mc_block_wool_brown
minecraft:bubble_column,_mc_block_bubble_coral_block
minecraft:bubble_coral,_mc_block_bubble_coral_block
minecraft:bubble_coral_block,_mc_block_bubble_coral_block
minecraft:bubble_coral_fan,_mc_block_bubble_coral_block
minecraft:bubble_coral_wall_fan,_mc_block_bubble_coral_block
minecraft:budding_amethyst,_mc_block_amethyst_budding_block
minecraft:cactus,_mc_block_cactus_side
minecraft:cake,_mc_block_cake_top
minecraft:calcite,_mc_block_calcite
minecraft:campfire,_model__mc_block_campfire
minecraft:candle,_model__mc_block_candle
minecraft:candle_cake,_model__mc_block_cake_with_candle
minecraft:carrots,stone
minecraft:cartography_table,_mc_block_cartography_table_top
minecraft:carved_pumpkin,_mc_block_pumpkin_side
minecraft:cauldron,_mc_block_cauldron_side
minecraft:cave_air,stone
minecraft:cave_vines,_mc_block_cave_vines
minecraft:cave_vines_plant,_mc_block_cave_vines
minecraft:chain,_model__mc_block_chain
minecraft:chain_command_block,_mc_block_chain_command_block_back
minecraft:chest,_model__mc_block_chest
minecraft:chipped_anvil,_model__mc_block_anvil
minecraft:chiseled_deepslate,_mc_block_chiseled_deepslate
minecraft:chiseled_nether_bricks,_mc_block_chiseled_nether_bricks
minecraft:chiseled_polished_blackstone,_mc_block_chiseled_polished_blackstone
minecraft:chiseled_quartz_block,_mc_block_chiseled_quartz_block
minecraft:chiseled_red_sandstone,_mc_block_chiseled_red_sandstone
minecraft:chiseled_sandstone,_mc_block_chiseled_sandstone
minecraft:chiseled_stone_bricks,_mc_block_chiseled_stone_bricks
minecraft:chorus_flower,_model__mc_block_chorus_flower
minecraft:chorus_plant,_model__mc_block_chorus_plant
minecraft:clay,_mc_block_clay
minecraft:coal_block,_mc_block
minecraft:coal_ore,_mc_block_coal_ore
minecraft:coarse_dirt,_mc_block_coarse_dirt
minecraft:cobbled_deepslate,_mc_block_cobbled_deepslate
minecraft:cobbled_deepslate_slab,_mc_block_cobbled_deepslate
minecraft:cobbled_deepslate_stairs,_mc_block_cobbled_deepslate
minecraft:cobbled_deepslate_wall,_mc_block_cobbled_deepslate
minecraft:cobblestone,_mc_block_cobblestone
minecraft:cobblestone_slab,_mc_block_cobblestone
minecraft:cobblestone_stairs,_mc_block_cobblestone
minecraft:cobblestone_wall,_mc_block_cobblestone
minecraft:cobweb,_model__mc_block_cobweb
minecraft:cocoa,_model__mc_block_cocoa_stage2
minecraft:command_block,_mc_block_command_block_back
minecraft:comparator,_mc_block_comparator
minecraft:composter,_mc_block_composter_side
minecraft:conduit,_mc_block_conduit
minecraft:copper_block,_mc_block_copper_block
minecraft:copper_ore,_mc_block_copper_ore
minecraft:cornflower,_model__mc_block_cornflower
minecraft:cracked_deepslate_bricks,_mc_block_cracked_deepslate_bricks
minecraft:cracked_deepslate_tiles,_mc_block_cracked_deepslate_tiles
minecraft:cracked_nether_bricks,_mc_block_cracked_nether_bricks
minecraft:cracked_polished_blackstone_bricks,_mc_block_cracked_polished_blackstone_bricks
minecraft:cracked_stone_bricks,_mc_block_cracked_stone_bricks
minecraft:crafting_table,_mc_block_crafting_table_front
minecraft:creeper_head,stone
minecraft:creeper_wall_head,stone
minecraft:crimson_button,_prefabs/_minecraft/misc/button.map
minecraft:crimson_door,_model__mc_block_crimson_door
minecraft:crimson_fence,_model__mc_block_fence_post_crimson
minecraft:crimson_fence_gate,_mc_block_crimson_planks
minecraft:crimson_fungus,_mc_block_crimson_fungus
minecraft:crimson_hyphae,stone
minecraft:crimson_nylium,_mc_block_crimson_nylium
minecraft:crimson_planks,_mc_block_crimson_planks
minecraft:crimson_pressure_plate,_model__mc_block_pressure_plate_crimson_up
minecraft:crimson_roots,_mc_block_crimson_roots
minecraft:crimson_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:crimson_slab,_mc_block_crimson_planks
minecraft:crimson_stairs,_mc_block_crimson_planks
minecraft:crimson_stem,_mc_block_crimson_planks
minecraft:crimson_trapdoor,_model__mc_block_crimson_trapdoor
minecraft:crimson_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:crying_obsidian,_mc_block_crying_obsidian
minecraft:cut_copper,_mc_block_cut_copper
minecraft:cut_copper_slab,_mc_block_cut_copper
minecraft:cut_copper_stairs,_mc_block_cut_copper
minecraft:cut_red_sandstone,_mc_block_cut_red_sandstone
minecraft:cut_red_sandstone_slab,_mc_block_cut_red_sandstone
minecraft:cut_sandstone,_mc_block_cut_sandstone
minecraft:cut_sandstone_slab,_mc_block_cut_sandstone
minecraft:cyan_banner,_model__mc_block_banner_cyan
minecraft:cyan_bed,_model__mc_block_bed_cyan
minecraft:cyan_candle,_model__mc_block_candle
minecraft:cyan_candle_cake,_mc_block_wool_cyan
minecraft:cyan_carpet,_model__mc_block_wool_carpet_cyan
minecraft:cyan_concrete,_mc_block_concrete_cyan
minecraft:cyan_concrete_powder,_mc_block_concrete_powder_cyan
minecraft:cyan_glazed_terracotta,_mc_block_glazed_terracotta_cyan
minecraft:cyan_shulker_box,stone
minecraft:cyan_stained_glass,_mc_block_stained_glass_cyan
minecraft:cyan_stained_glass_pane,_mc_block_stained_glass_cyan
minecraft:cyan_terracotta,_mc_block_terracotta_cyan
minecraft:cyan_wall_banner,_model__mc_block_banner_hanging_cyan
minecraft:cyan_wool,_mc_block_wool_cyan
minecraft:damaged_anvil,_model__mc_block_anvil
minecraft:dandelion,_model__mc_block_dandelion
minecraft:dark_oak_button,_prefabs/_minecraft/misc/button.map
minecraft:dark_oak_door,_model__mc_block_dark_oak_door
minecraft:dark_oak_fence,_model__mc_block_fence_post_dark_oak
minecraft:dark_oak_fence_gate,_mc_block_dark_oak_planks
minecraft:dark_oak_leaves,_mc_block_dark_oak_leaves_forest
minecraft:dark_oak_log,_mc_block_dark_oak_log
minecraft:dark_oak_planks,_mc_block_dark_oak_planks
minecraft:dark_oak_pressure_plate,_model__mc_block_pressure_plate_dark_oak_up
minecraft:dark_oak_sapling,_mc_block_dark_oak_planks
minecraft:dark_oak_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:dark_oak_slab,_mc_block_dark_oak_planks
minecraft:dark_oak_stairs,_mc_block_dark_oak_planks
minecraft:dark_oak_trapdoor,_model__mc_block_dark_oak_trapdoor
minecraft:dark_oak_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:dark_oak_wood,_mc_block_dark_oak_log
minecraft:dark_prismarine,_mc_block_dark_prismarine
minecraft:dark_prismarine_slab,_mc_block_dark_prismarine
minecraft:dark_prismarine_stairs,_mc_block_dark_prismarine
minecraft:daylight_detector,_model__mc_block_daylight_detector
minecraft:dead_brain_coral,_mc_block_dead_brain_coral_block
minecraft:dead_brain_coral_block,_mc_block_dead_brain_coral_block
minecraft:dead_brain_coral_fan,_mc_block_dead_brain_coral_block
minecraft:dead_brain_coral_wall_fan,_mc_block_dead_brain_coral_block
minecraft:dead_bubble_coral,_mc_block_dead_bubble_coral_block
minecraft:dead_bubble_coral_block,_mc_block_dead_bubble_coral_block
minecraft:dead_bubble_coral_fan,_mc_block_dead_bubble_coral_block
minecraft:dead_bubble_coral_wall_fan,_mc_block_dead_bubble_coral_block
minecraft:dead_bush,_model__mc_block_dead_bush
minecraft:dead_fire_coral,_mc_block_dead_fire_coral_block
minecraft:dead_fire_coral_block,_mc_block_dead_fire_coral_block
minecraft:dead_fire_coral_fan,_mc_block_dead_fire_coral_block
minecraft:dead_fire_coral_wall_fan,_mc_block_dead_fire_coral_block
minecraft:dead_horn_coral,_mc_block_dead_horn_coral_block
minecraft:dead_horn_coral_block,_mc_block_dead_horn_coral_block
minecraft:dead_horn_coral_fan,_mc_block_dead_horn_coral_block
minecraft:dead_horn_coral_wall_fan,_mc_block_dead_horn_coral_block
minecraft:dead_tube_coral,_mc_block_dead_tube_coral_block
minecraft:dead_tube_coral_block,_mc_block_dead_tube_coral_block
minecraft:dead_tube_coral_fan,_mc_block_dead_tube_coral_block
minecraft:dead_tube_coral_wall_fan,_mc_block_dead_tube_coral_block
minecraft:deepslate,_mc_block_deepslate_top
minecraft:deepslate_brick_slab,_mc_block_deepslate_bricks
minecraft:deepslate_brick_stairs,_mc_block_deepslate_bricks
minecraft:deepslate_brick_wall,_mc_block_deepslate_bricks
minecraft:deepslate_bricks,_mc_block_deepslate_bricks
minecraft:deepslate_coal_ore,_mc_block_deepslate_coal_ore
minecraft:deepslate_copper_ore,_mc_block_deepslate_copper_ore
minecraft:deepslate_diamond_ore,_mc_block_deepslate_diamond_ore
minecraft:deepslate_emerald_ore,_mc_block_deepslate_emerald_ore
minecraft:deepslate_gold_ore,_mc_block_deepslate_emerald_ore
minecraft:deepslate_iron_ore,_mc_block_deepslate_iron_ore
minecraft:deepslate_lapis_ore,_mc_block_deepslate_lapis_ore
minecraft:deepslate_redstone_ore,_mc_block_deepslate_redstone_ore
minecraft:deepslate_tile_slab,_mc_block_deepslate_tiles
minecraft:deepslate_tile_stairs,_mc_block_deepslate_tiles
minecraft:deepslate_tile_wall,_mc_block_deepslate_tiles
minecraft:deepslate_tiles,_mc_block_deepslate_tiles
minecraft:detector_rail,_model__mc_block_detector_rail
minecraft:diamond_block,_mc_block_diamond
minecraft:diamond_ore,_mc_block_diamond_ore
minecraft:diorite,_mc_block_diorite
minecraft:diorite_slab,_mc_block_diorite
minecraft:diorite_stairs,_mc_block_diorite
minecraft:diorite_wall,_mc_block_diorite
minecraft:dirt,_mc_block_dirt
minecraft:dirt_path,_mc_block_dirt_path_top
minecraft:dispenser,_mc_block_dispenser_front
minecraft:dragon_egg,_mc_block_dragon_egg
minecraft:dragon_head,_mc_block_dragon_egg
minecraft:dragon_wall_head,_mc_block_dragon_egg
minecraft:dried_kelp_block,_mc_block_dried_kelp_bottom
minecraft:dripstone_block,_mc_block_dripstone_block
minecraft:dropper,_mc_block_dropper_front
minecraft:emerald_block,_mc_block_emerald
minecraft:emerald_ore,_mc_block_emer
minecraft:enchanting_table,_mc_block_enchanting_table_top
minecraft:end_gateway,_model__mc_block_end_frame_top
minecraft:end_portal,_mc_block_end_portal
minecraft:end_portal_frame,_model__mc_block_end_frame_top
minecraft:end_rod,_model__mc_block_end_rod
minecraft:end_stone,_mc_block_end_rod
minecraft:end_stone_brick_slab,_mc_block_end_stone_bricks
minecraft:end_stone_brick_stairs,_mc_block_end_stone_bricks
minecraft:end_stone_brick_wall,_mc_block_end_stone_bricks
minecraft:end_stone_bricks,_mc_block_end_stone_bricks
minecraft:ender_chest,_model__mc_block_chest_ender
minecraft:exposed_copper,_mc_block_exposed_copper
minecraft:exposed_cut_copper,_mc_block_exposed_cut_copper
minecraft:exposed_cut_copper_slab,_mc_block_exposed_cut_copper
minecraft:exposed_cut_copper_stairs,_mc_block_exposed_cut_copper
minecraft:farmland,_mc_block_farmland_top
minecraft:fern,_model__mc_block_fern_forest
minecraft:fire,_model__mc_block_fire_ground
minecraft:fire_coral,_mc_block_fire_coral_block
minecraft:fire_coral_block,_mc_block_fire_coral_block
minecraft:fire_coral_fan,_mc_block_fire_coral_block
minecraft:fire_coral_wall_fan,_mc_block_fire_coral_block
minecraft:fletching_table,_mc_block_fletching_table_top
minecraft:flower_pot,_model__mc_block_flower_pot
minecraft:flowering_azalea,_model__mc_block_azalea_flowering
minecraft:flowering_azalea_leaves,_model__mc_block_azalea_leaves_bush
minecraft:frogspawn,stone
minecraft:frosted_ice,_mc_block_frosted_ice_0
minecraft:furnace,_mc_block_furnace_front_on
minecraft:gilded_blackstone,_mc_block_gilded_blackstone
minecraft:glass,_mc_block_glass
minecraft:glass_pane,_mc_block_glass
minecraft:glow_lichen,_mc_block_glow_lichen
minecraft:glowstone,_mc_block_glowstone
minecraft:gold_block,_mc_block_gold
minecraft:gold_ore,_mc_block_gold_ore
minecraft:granite,_mc_block_granite
minecraft:granite_slab,_mc_block_granite
minecraft:granite_stairs,_mc_block_granite
minecraft:granite_wall,_mc_block_granite
minecraft:grass,_mc_block_grass_block_birch_forest
minecraft:short_grass,_model__mc_block_grass_forest
minecraft:grass_block,_mc_block_grass_block_birch_forest
minecraft:gravel,_mc_block_gravel
minecraft:gray_banner,_model__mc_block_banner_gray
minecraft:gray_bed,_model__mc_block_bed_gray
minecraft:gray_candle,_model__mc_block_candle
minecraft:gray_candle_cake,_mc_block_wool_gray
minecraft:gray_carpet,_model__mc_block_wool_carpet_gray
minecraft:gray_concrete,_mc_block_concrete_gray
minecraft:gray_concrete_powder,_mc_block_concrete_powder_gray
minecraft:gray_glazed_terracotta,_mc_block_glazed_terracotta_gray
minecraft:gray_shulker_box,stone
minecraft:gray_stained_glass,_mc_block_stained_glass_gray
minecraft:gray_stained_glass_pane,_mc_block_stained_glass_gray
minecraft:gray_terracotta,_mc_block_terracotta_gray
minecraft:gray_wall_banner,_model__mc_block_banner_hanging_gray
minecraft:gray_wool,_mc_block_wool_gray
minecraft:green_banner,_model__mc_block_banner_green
minecraft:green_bed,_model__mc_block_bed_green
minecraft:green_candle,_model__mc_block_candle
minecraft:green_candle_cake,_mc_block_wool_green
minecraft:green_carpet,_model__mc_block_wool_carpet_green
minecraft:green_concrete,_mc_block_concrete_green
minecraft:green_concrete_powder,_mc_block_concrete_powder_green
minecraft:green_glazed_terracotta,stone
minecraft:green_shulker_box,stone
minecraft:green_stained_glass,_mc_block_stained_glass_green
minecraft:green_stained_glass_pane,_mc_block_stained_glass_green
minecraft:stained_hardened_clay:13,_mc_block_terracotta_green
minecraft:green_wall_banner,_model__mc_block_banner_hanging_green
minecraft:green_wool,_mc_block_wool_green
minecraft:grindstone,_model__mc_block_grindstone
minecraft:hanging_roots,_mc_block_hanging_roots
minecraft:hay_block,_mc_block_hay_block_side
minecraft:heavy_weighted_pressure_plate,_model__mc_block_pressure_plate_iron_up
minecraft:honey_block,_mc_block_honey_block_bottom
minecraft:honeycomb_block,_mc_block_honeycomb_block
minecraft:hopper,_model__mc_block_hopper
minecraft:horn_coral,_mc_block_horn_coral_block
minecraft:horn_coral_block,_mc_block_horn_coral_block
minecraft:horn_coral_fan,_mc_block_horn_coral_block
minecraft:horn_coral_wall_fan,_mc_block_horn_coral_block
minecraft:ice,_mc_block_ice
minecraft:infested_chiseled_stone_bricks,stone
minecraft:infested_cobblestone,stone
minecraft:infested_cracked_stone_bricks,stone
minecraft:infested_deepslate,stone
minecraft:infested_mossy_stone_bricks,stone
minecraft:infested_stone,stone
minecraft:infested_stone_bricks,stone
minecraft:iron_bars,_prefabs/_minecraft/Misc/iron_bar.map
minecraft:iron_block,_mc_block_iron_block
minecraft:iron_door,_model__mc_block_iron_door
minecraft:iron_ore,_mc_block_iron_ore
minecraft:iron_trapdoor,_model__mc_block_iron_trapdoor
minecraft:jack_o_lantern,_mc_block_jack_o_lantern
minecraft:jigsaw,_model__mc_block_stonecutter
minecraft:jukebox,_mc_block_jukebox_side
minecraft:jungle_button,_prefabs/_minecraft/misc/button.map
minecraft:jungle_door,_model__mc_block_jungle_door
minecraft:jungle_fence,_model__mc_block_fence_post_jungle
minecraft:jungle_fence_gate,_mc_block_jungle_planks
minecraft:jungle_leaves,_mc_block_jungle_leaves_forest
minecraft:jungle_log,_mc_block_jungle_log
minecraft:jungle_planks,_mc_block_jungle_planks
minecraft:jungle_pressure_plate,_model__mc_block_pressure_plate_jungle_up
minecraft:jungle_sapling,_mc_block_jungle_planks
minecraft:jungle_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:jungle_slab,_mc_block_jungle_planks
minecraft:jungle_stairs,_mc_block_jungle_planks
minecraft:jungle_trapdoor,_model__mc_block_jungle_trapdoor
minecraft:jungle_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:jungle_wood,_mc_block_jungle_log
minecraft:kelp,_mc_block_kelp_plant
minecraft:kelp_plant,_mc_block_kelp_plant
minecraft:ladder,_model__mc_block_ladder
minecraft:lantern,_model__mc_block_lantern
minecraft:lapis_block,_mc_block_lapis_block
minecraft:lapis_ore,_mc_block_lapis_ore
minecraft:large_amethyst_bud,_model__mc_block_large_amethyst_bud
minecraft:large_fern,_mc_block_large_fern_bottom_forest
minecraft:lava,_mc_block_lava_flow
minecraft:lava_cauldron,_model__mc_block_cauldron
minecraft:lectern,_model__mc_block_lectern
minecraft:lever,_model__mc_block_lever
minecraft:light,stone
minecraft:light_blue_banner,_model__mc_block_banner_light_blue
minecraft:light_blue_bed,_model__mc_block_bed_light_blue
minecraft:light_blue_candle,_model__mc_block_candle
minecraft:light_blue_candle_cake,_mc_block_wool_light_blue
minecraft:light_blue_carpet,_model__mc_block_wool_carpet_light_blue
minecraft:light_blue_concrete,_mc_block_concrete_light_blue
minecraft:light_blue_concrete_powder,_mc_block_concrete_powder_light_blue
minecraft:light_blue_glazed_terracotta,_mc_block_glazed_terracotta_light_blue
minecraft:light_blue_shulker_box,stone
minecraft:light_blue_stained_glass,_mc_block_stained_glass_light_blue
minecraft:light_blue_stained_glass_pane,_mc_block_stained_glass_light_blue
minecraft:light_blue_terracotta,_mc_block_terracotta_light_blue
minecraft:light_blue_wall_banner,_model__mc_block_banner_hanging_light_blue
minecraft:light_blue_wool,_mc_block_wool_light_blue
minecraft:light_gray_banner,_model__mc_block_banner_light_gray
minecraft:light_gray_bed,_model__mc_block_bed_light_gray
minecraft:light_gray_candle,_model__mc_block_candle
minecraft:light_gray_candle_cake,_mc_block_wool_light_gray
minecraft:light_gray_carpet,_model__mc_block_wool_carpet_light_gray
minecraft:light_gray_concrete,_mc_block_concrete_light_gray
minecraft:light_gray_concrete_powder,_mc_block_concrete_powder_light_gray
minecraft:light_gray_glazed_terracotta,_mc_block_glazed_terracotta_light_gray
minecraft:light_gray_shulker_box,stone
minecraft:light_gray_stained_glass,_mc_block_stained_glass_light_gray
minecraft:light_gray_stained_glass_pane,_mc_block_stained_glass_light_gray
minecraft:light_gray_terracotta,_mc_block_terracotta_light_gray
minecraft:light_gray_wall_banner,_model__mc_block_banner_hanging_light_gray
minecraft:light_gray_wool,_mc_block_wool_light_gray
minecraft:light_weighted_pressure_plate,_model__mc_block_pressure_plate_gold_up
minecraft:lightning_rod,_model__mc_block_lightning_rod
minecraft:lilac,_model__mc_block_lilac_bottom
minecraft:lily_of_the_valley,_model__mc_block_lily_of_the_valley
minecraft:lily_pad,_model__mc_block_lily_pad
minecraft:lime_banner,_model__mc_block_banner_lime
minecraft:lime_bed,_model__mc_block_bed_lime
minecraft:lime_candle,_model__mc_block_candle
minecraft:lime_candle_cake,_mc_block_wool_lime
minecraft:lime_carpet,_model__mc_block_wool_carpet_lime
minecraft:lime_concrete,_mc_block_concrete_lime
minecraft:lime_concrete_powder,_mc_block_concrete_powder_lime
minecraft:lime_glazed_terracotta,_mc_block_glazed_terracotta_lime
minecraft:lime_shulker_box,stone
minecraft:lime_stained_glass,_mc_block_stained_glass_lime
minecraft:lime_stained_glass_pane,_mc_block_stained_glass_lime
minecraft:lime_terracotta,_mc_block_terracotta_lime
minecraft:lime_wall_banner,_model__mc_block_banner_hanging_lime
minecraft:lime_wool,_mc_block_wool_lime
minecraft:lodestone,_mc_block_lodestone_side
minecraft:loom,_mc_block_loom_front
minecraft:magenta_banner,_model__mc_block_banner_magenta
minecraft:magenta_bed,_model__mc_block_bed_magenta
minecraft:magenta_candle,_model__mc_block_candle
minecraft:magenta_candle_cake,_mc_block_wool_magenta
minecraft:magenta_carpet,_model__mc_block_wool_carpet_magenta
minecraft:magenta_concrete,_mc_block_concrete_magenta
minecraft:magenta_concrete_powder,_mc_block_concrete_powder_magenta
minecraft:magenta_glazed_terracotta,_mc_block_glazed_terracotta_magenta
minecraft:magenta_shulker_box,stone
minecraft:magenta_stained_glass,_mc_block_stained_glass_magenta
minecraft:magenta_stained_glass_pane,_mc_block_stained_glass_magenta
minecraft:magenta_terracotta,_mc_block_terracotta_magenta
minecraft:magenta_wall_banner,_model__mc_block_banner_hanging_magenta
minecraft:magenta_wool,_mc_block_wool_magenta
minecraft:magma_block,_mc_block_magma
minecraft:mangrove_button,_prefabs/_minecraft/misc/button.map
minecraft:mangrove_door,_model__mc_block_mangrove_door
minecraft:mangrove_fence,_mc_block_mangrove_planks
minecraft:mangrove_fence_gate,_mc_block_mangrove_planks
minecraft:mangrove_leaves,_mc_block_mangrove_leaves_forest
minecraft:mangrove_log,_mc_block_mangrove_log
minecraft:mangrove_planks,_mc_block_mangrove_planks
minecraft:mangrove_pressure_plate,_model__mc_block_pressure_plate_oak_up
minecraft:mangrove_propagule,_mc_block_mangrove_planks
minecraft:mangrove_roots,_mc_block_mangrove_planks
minecraft:mangrove_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:mangrove_slab,_mc_block_mangrove_planks
minecraft:mangrove_stairs,_mc_block_mangrove_planks
minecraft:mangrove_trapdoor,_model__mc_block_mangrove_trapdoor
minecraft:mangrove_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:mangrove_wood,_mc_block_mangrove_log
minecraft:medium_amethyst_bud,_model__mc_block_medium_amethyst_bud
minecraft:melon,_mc_block_melon_side
minecraft:melon_stem,_mc_block_melon_side
minecraft:moss_block,_mc_block_moss_block
minecraft:moss_carpet,_model__mc_block_moss_carpet
minecraft:mossy_cobblestone,_mc_block_mossy_cobblestone
minecraft:mossy_cobblestone_slab,_mc_block_mossy_cobblestone
minecraft:mossy_cobblestone_stairs,_mc_block_mossy_cobblestone
minecraft:mossy_cobblestone_wall,_mc_block_mossy_cobblestone
minecraft:mossy_stone_brick_slab,_mc_block_mossy_stone_bricks
